 Survey Question Description                         
 TOTAL STUDENT POPULATION                            
 "During last schl yr; did you ever attend remotely "
 "During last schl yr; did you ever attend remotely "
 "During last schl yr; did you ever attend remotely "
 MISSING                                             
 "During last schl yr; which school did you attend  "
 "During last schl yr; which school did you attend  "
 MISSING                                             
 Remote: Access to high-speed internet               
 Remote: Access to high-speed internet               
 Remote: Access to high-speed internet               
 Remote: Access to high-speed internet               
 MISSING                                             
 "Remote: desktop; laptop or tablet                 "
 "Remote: desktop; laptop or tablet                 "
 "Remote: desktop; laptop or tablet                 "
 "Remote: desktop; laptop or tablet                 "
 MISSING                                             
 "Remote: A smartphone (iPhone; Galaxy; HTC One)    "
 "Remote: A smartphone (iPhone; Galaxy; HTC One)    "
 "Remote: A smartphone (iPhone; Galaxy; HTC One)    "
 "Remote: A smartphone (iPhone; Galaxy; HTC One)    "
 MISSING                                             
 Remote: A printer                                   
 Remote: A printer                                   
 Remote: A printer                                   
 Remote: A printer                                   
 MISSING                                             
 Remote: School supplies (eg. paper and pencil)      
 Remote: School supplies (eg. paper and pencil)      
 Remote: School supplies (eg. paper and pencil)      
 Remote: School supplies (eg. paper and pencil)      
 MISSING                                             
 Remote: A quiet place to work                       
 Remote: A quiet place to work                       
 Remote: A quiet place to work                       
 Remote: A quiet place to work                       
 MISSING                                             
 Remote: teacher available to help w/ lang arts      
 Remote: teacher available to help w/ lang arts      
 Remote: teacher available to help w/ lang arts      
 Remote: teacher available to help w/ lang arts      
 Remote: teacher available to help w/ lang arts      
 MISSING                                             
 Remote: work online in small groups lang arts       
 Remote: work online in small groups lang arts       
 Remote: work online in small groups lang arts       
 Remote: work online in small groups lang arts       
 Remote: work online in small groups lang arts       
 MISSING                                             
 Remote: asked to take lang arts quiz/test online    
 Remote: asked to take lang arts quiz/test online    
 Remote: asked to take lang arts quiz/test online    
 Remote: asked to take lang arts quiz/test online    
 Remote: asked to take lang arts quiz/test online    
 MISSING                                             
 How difficult or easy was it to learn remotely      
 How difficult or easy was it to learn remotely      
 How difficult or easy was it to learn remotely      
 How difficult or easy was it to learn remotely      
 MISSING                                             
 While remote how often received help w/ schoolwork  
 While remote how often received help w/ schoolwork  
 While remote how often received help w/ schoolwork  
 While remote how often received help w/ schoolwork  
 While remote how often received help w/ schoolwork  
 MISSING                                             
 "Remote help from mother; stepmother; foster; other"
 "Remote help from mother; stepmother; foster; other"
 MISSING                                             
 "Remote help from father; stepfather; foster; other"
 "Remote help from father; stepfather; foster; other"
 MISSING                                             
 Remote help from brother or sister                  
 Remote help from brother or sister                  
 MISSING                                             
 Remote help from other person                       
 Remote help from other person                       
 MISSING                                             
 Remote E/LA: Recognize when don't understand        
 Remote E/LA: Recognize when don't understand        
 Remote E/LA: Recognize when don't understand        
 Remote E/LA: Recognize when don't understand        
 Remote E/LA: Recognize when don't understand        
 MISSING                                             
 Remote E/LA: Ask for help when you need it          
 Remote E/LA: Ask for help when you need it          
 Remote E/LA: Ask for help when you need it          
 Remote E/LA: Ask for help when you need it          
 Remote E/LA: Ask for help when you need it          
 MISSING                                             
 Remote E/LA: Find resource online if dont underst   
 Remote E/LA: Find resource online if dont underst   
 Remote E/LA: Find resource online if dont underst   
 Remote E/LA: Find resource online if dont underst   
 Remote E/LA: Find resource online if dont underst   
 MISSING                                             
 This year prep for distance: Training tchr/staff    
 This year prep for distance: Training tchr/staff    
 This year prep for distance: Training tchr/staff    
 This year prep for distance: Training tchr/staff    
 This year prep for distance: Training tchr/staff    
 MISSING                                             
 This year prep for distance: Training stud/parnt    
 This year prep for distance: Training stud/parnt    
 This year prep for distance: Training stud/parnt    
 This year prep for distance: Training stud/parnt    
 This year prep for distance: Training stud/parnt    
 MISSING                                             
 This year prep for distance: Digital resources      
 This year prep for distance: Digital resources      
 This year prep for distance: Digital resources      
 This year prep for distance: Digital resources      
 This year prep for distance: Digital resources      
 MISSING                                             
 This year prep for distance: Paper resources        
 This year prep for distance: Paper resources        
 This year prep for distance: Paper resources        
 This year prep for distance: Paper resources        
 This year prep for distance: Paper resources        
 MISSING                                             
 This year prep for distance: Adapt curric plans     
 This year prep for distance: Adapt curric plans     
 This year prep for distance: Adapt curric plans     
 This year prep for distance: Adapt curric plans     
 This year prep for distance: Adapt curric plans     
 MISSING                                             
 This year prep for distance: Addl support for SD    
 This year prep for distance: Addl support for SD    
 This year prep for distance: Addl support for SD    
 This year prep for distance: Addl support for SD    
 This year prep for distance: Addl support for SD    
 MISSING                                             
 This year prep for distance: Addl support for EL    
 This year prep for distance: Addl support for EL    
 This year prep for distance: Addl support for EL    
 This year prep for distance: Addl support for EL    
 This year prep for distance: Addl support for EL    
 MISSING                                             
 This year distribute laptops/tablets to students    
 This year distribute laptops/tablets to students    
 This year distribute laptops/tablets to students    
 This year distribute laptops/tablets to students    
 This year distribute laptops/tablets to students    
 MISSING                                             
 This year internet access: All student already had  
 This year internet access: All student already had  
 MISSING                                             
 This year internet access: Schl assist stud to get  
 This year internet access: Schl assist stud to get  
 MISSING                                             
 This year internet access: Schl provided hotspots   
 This year internet access: Schl provided hotspots   
 MISSING                                             
 This year internet access: Schl provided Wi-Fi      
 This year internet access: Schl provided Wi-Fi      
 MISSING                                             
 This year internet access: Schl did not assist      
 This year internet access: Schl did not assist      
 MISSING                                             
 This year internet access: Other                    
 This year internet access: Other                    
 MISSING                                             
 "This year in-person classes canceled; not replaced"
 "This year in-person classes canceled; not replaced"
 "This year in-person classes canceled; not replaced"
 "This year in-person classes canceled; not replaced"
 "This year in-person classes canceled; not replaced"
 "This year in-person classes canceled; not replaced"
 MISSING                                             
 This year in-person classes moved to distnce learn  
 This year in-person classes moved to distnce learn  
 This year in-person classes moved to distnce learn  
 This year in-person classes moved to distnce learn  
 This year in-person classes moved to distnce learn  
 This year in-person classes moved to distnce learn  
 MISSING                                             
 This year students completed lessons on their own   
 This year students completed lessons on their own   
 This year students completed lessons on their own   
 This year students completed lessons on their own   
 This year students completed lessons on their own   
 This year students completed lessons on their own   
 MISSING                                             
 This year lessons conducted in real-time            
 This year lessons conducted in real-time            
 This year lessons conducted in real-time            
 This year lessons conducted in real-time            
 This year lessons conducted in real-time            
 This year lessons conducted in real-time            
 MISSING                                             
 "This year distnce learn; tchr commun w/stud online"
 "This year distnce learn; tchr commun w/stud online"
 "This year distnce learn; tchr commun w/stud online"
 "This year distnce learn; tchr commun w/stud online"
 "This year distnce learn; tchr commun w/stud online"
 MISSING                                             
 "This year distnce learn; tchr virtual office hours"
 "This year distnce learn; tchr virtual office hours"
 "This year distnce learn; tchr virtual office hours"
 "This year distnce learn; tchr virtual office hours"
 "This year distnce learn; tchr virtual office hours"
 MISSING                                             
 "This year distnce learn; tchr call students       "
 "This year distnce learn; tchr call students       "
 "This year distnce learn; tchr call students       "
 "This year distnce learn; tchr call students       "
 "This year distnce learn; tchr call students       "
 MISSING                                             
 "This year distnce learn; tchr communicate w/parent"
 "This year distnce learn; tchr communicate w/parent"
 "This year distnce learn; tchr communicate w/parent"
 "This year distnce learn; tchr communicate w/parent"
 "This year distnce learn; tchr communicate w/parent"
 MISSING                                             
 This schl year modified: Schl year started earlier  
 This schl year modified: Schl year started earlier  
 MISSING                                             
